Site,Square,iButton 2,Height,CoveredOrOpen,Possible submersion
SL1B,50,1,28,O,N
SL1B,17,2,156,C,N
SL1B,60,3,286,O,N
SL13C,61,4,131,H,N
SL1B,35,5,0,O,N
SL1B,55,6,164,H,N
SL1B,47,7,365,H,N
SL13C,12,8,0,O,N
SL13C,13,9,152,O,N
NONE,NA,10,NA,NA,NA
SL1B,31,11,423,O,N
SL1B,14,12,101,H,N
SL1B,22,13,0,O,Y
SL13C,59,14,198,O,N
SL13C,34,15,109,H,N
SL13C,9,16,175,H,N
SL1B,60,17,187,O,N
SL1B,25,18,278,O,N
SL1B,50,19,187,H,N
SL13C,76,20,48,O,Y
SL1B,35,21,394,O,N
SL1B,12,22,191,H,N
SL13C,76,23,200,O,N
SL13C,34,24,249,H,N
SL13C,59,25,28,O,Y
SL1B,47,26,155,H,N
SL1B,17,27,0,O,N
SL1B,35,28,135,H,N
SL13C,9,29,0,O,Y
SL13C,52,30,185,H,N
SL13C,58,31,430,H,N
SL13C,38,32,158,C,N
SL1B,25,33,0,O,N
SL13C,68,34,100,O,N
SL1B,22,35,106,H,N
SL1B,12,36,0,O,Y
SL1B,31,37,0,O,N
SL1B,56,38,151,O,N
SL13C,38,39,269,C,N
SL13C,61,40,261,H,N
SL13C,34,41,22,O,N
SL13C,58,42,12,O,N
SL1B,56,43,383,O,N
SL13C,52,44,387,C,N
SL1B,14,45,0,O,N
SL13C,59,46,389,H,N
SL13C,52,47,40,O,Y
SL13C,68,48,15,O,N
SL1B,31,49,246,O,N
SL1B,25,50,199,O,N
SL13C,12,51,111,O,N
SL1B,55,52,266,H,N
SL1B,47,53,0,H,N
SL13C,38,54,8,O,N
SL13C,58,55,142,O,N
SL13C,13,56,0,O,N
